Architektura agregatu;Architektura układu napędowego;Aspiracja silnika;Dopuszczalna masa;Dopuszczalna masa całkowita przyczepy bez hamulców;Dopuszczalna masa całkowita przyczepy z hamulcami przy ruszaniu na wzniesieniu o nachyleniu 12%;Dopuszczalna masa całkowita przyczepy z hamulcami przy ruszaniu na wzniesieniu o nachyleniu 8%;Dopuszczalna masa ładunku na dachu;Dopuszczalny nacisk przyczepy na hak holowniczy;Długość;Emisje CO2;Emisje CO2 (NEDC, WLTP odpowiednik);Emisje CO2 (WLTP);Generacja;Hamulce przednie;Hamulce tylne;Ilość biegów i rodzaj skrzyni biegów;Ilość oleju w silniku;Konfiguracja silnika;Koniec produkcji;Liczba cylindrów;Liczba drzwi;Liczba miejsc;Liczba zaworów cylindra;Link;Maksymalne obciążenie;Marka;Masa własna;Minimalna pojemność bagażnika;Minimalna średnica skrętu;Moc;Moc na litr objętości roboczej;Model;Model/Kod silnika;Modyfikacja (Silnik);Moment obrotowy;Napęd;Początek produkcji;Pojemność silnika;Przyspieszenie 0 - 100 km/h;Przyspieszenie 0 - 60 mph (Obliczone przez Auto-Data.net);Przyspieszenie 0 - 62 mph;Prędkość maksymalna;Rozmiar felg;Rozmiar opon;Rozstaw kół przednich;Rozstaw kół tylnych;Rozstaw osi;Skok tłoka;Specyfikacja oleju silnikowego;Standard ekologiczny;Stopień sprężania;Stosunek masy do Moment obrotowy;Stosunek masy do mocy;Systemy wspomagające;Szerokość;Szerokość ze rozłożonymi lusterkami;Typ nadwozia;Typ paliwa;Układ kierowniczy;Układ silnika;Układ wtrysku paliwa;Układy silnika;Wspomaganie kierownicy;Współczynnik oporu powietrza (Cx);Wysokość;Zawieszenie przednie;Zawieszenie tylne;Zbiornik paliwa;Zużycia paliwa, mieszany (WLTP);Zużycie paliwa - Cykl miejski;Zużycie paliwa - Cykl miejski (NEDC, WLTP odpowiednik);Zużycie paliwa - Cykl mieszany;Zużycie paliwa - Cykl mieszany (NEDC, WLTP odpowiednik);Zużycie paliwa - Cykl pozamiejski;Zużycie paliwa - Cykl pozamiejski (NEDC, WLTP odpowiednik);płyn chłodzący;zbiornik AdBlue;zwis przedni;zwis tylny;Średnica cylindrów
Silnik spalinowy;SSW wprowadza w ruch na stałe cztery koła pojazdu.;Turbo kompresor , Intercooler;2295 kg 5059.61 lbs.;750 kg 1653.47 lbs.;1900 kg 4188.78 lbs.;2100 kg 4629.71 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;148-157 g/km;Brak danych;Brak danych;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe wentylowane;8 biegów, automatyczna skrzynia biegów Tiptronic;6.1 l 6.45 US qt | 5.37 UK qt;V-kształtny;Czerwiec, 2020 r;6;4;5;Brak danych;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-50-tdi-v6-286hp-quattro-tiptronic-38312;605 kg 1333.8 lbs.;Audi;1690 kg 3725.81 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;286 KM @ 3500-4000 obr./min.;96.4 KM/l;A4;DCPC;50 TDI V6 (286 KM) quattro Tiptronic;620 Nm @ 2250-3000 obr./min. 457.29 lb.-ft. @ 2250-3000 obr./min.;Napęd na wszystkie koła (4x4);Październik, 2019 r;2967 cm3 181.06 cu. in.;5.2 s;4.9 s;5.2 s;250 km/h 155.34 mph;7.5 J x 17;225/50 R17;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;Brak danych;Zaloguj się, aby zobaczyć.;Euro 6d - TEMP - EVAP - ISC;Brak danych;2.7 kg/Nm, 366.9 Nm/tonę;5.9 kg/KM, 169.2 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;Filtr cząstek stałych;Wspomaganie elektryczne;Brak danych;1428 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;58 l 15.32 US gal | 12.76 UK gal;Brak danych;6.8-7.1 l/100 km 34.59 - 33.13 US mpg41.54 - 39.79 UK mpg14.71 - 14.08 km/l;Brak danych;5.6-6.0 l/100 km 42 - 39.2 US mpg50.44 - 47.08 UK mpg17.86 - 16.67 km/l;Brak danych;4.9-5.3 l/100 km 48 - 44.38 US mpg57.65 - 53.3 UK mpg20.41 - 18.87 km/l;Brak danych;15.2 l 16.06 US qt | 13.37 UK qt;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;Brak danych
MHEV (łagodny układ hybrydowy);Silnik spalinowy (SSW) oraz motor elektryczny wprowadzają w ruch cztery koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym.;Turbo kompresor , Intercooler;2320 kg 5114.72 lbs.;750 kg 1653.47 lbs.;1900 kg 4188.78 lbs.;2100 kg 4629.71 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;Brak danych;154-162 g/km;168-188 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe wentylowane;8 biegów, automatyczna skrzynia biegów tiptronic;6.1 l 6.45 US qt | 5.37 UK qt;V-kształtny;Luty, 2023 r;6;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-50-tdi-286hp-quattro-mild-hybrid-tiptronic-42542;570 kg 1256.63 lbs.;Audi;1750 kg 3858.09 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;286 KM @ 3500-4000 obr./min.;96.4 KM/l;A4;DMGA;50 TDI (286 KM) quattro Mild Hybrid tiptronic;620 Nm @ 1750-3000 obr./min. 457.29 lb.-ft. @ 1750-3000 obr./min.;Napęd na wszystkie koła (4x4);Wrzesień, 2020 r;2967 cm3 181.06 cu. in.;5.2 s;4.9 s;5.2 s;250 km/h 155.34 mph;7.5 J x 17;225/50 R17;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;91.4 mm 3.6 in.;Zaloguj się, aby zobaczyć.;Euro 6d-ISC-FCM;16.3:1;2.8 kg/Nm, 354.3 Nm/tonę;6.1 kg/KM, 163.4 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;System start-stopFiltr cząstek stałych;Wspomaganie elektryczne;0.26;1431 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;58 l 15.32 US gal | 12.76 UK gal;6.4-7.2 l/100 km 36.75 - 32.67 US mpg44.14 - 39.23 UK mpg15.63 - 13.89 km/l;Brak danych;7.6-8.0 l/100 km 30.95 - 29.4 US mpg37.17 - 35.31 UK mpg13.16 - 12.5 km/l;Brak danych;5.9-6.2 l/100 km 39.87 - 37.94 US mpg47.88 - 45.56 UK mpg16.95 - 16.13 km/l;Brak danych;4.8-5.1 l/100 km 49 - 46.12 US mpg58.85 - 55.39 UK mpg20.83 - 19.61 km/l;15.2 l 16.06 US qt | 13.37 UK qt;12 l 3.17 US gal | 2.64 UK gal;899 mm 35.39 in.;1043 mm 41.06 in.;83 mm 3.27 in.
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch stale przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym, a w razie potrzeby - poprzez elektrycznie lub mechanicznie sterowane sprzęgło wprowadza w ruch tylne koła.;Turbo kompresor , Intercooler;2135 kg 4706.87 lbs.;750 kg 1653.47 lbs.;1700 kg 3747.86 lbs.;1900 kg 4188.78 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;Brak danych;156-163 g/km;167-189 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.2 l 5.49 US qt | 4.58 UK qt;Rzędowy;2025 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-45-tfsi-265hp-quattro-ultra-mild-hybrid-s-tronic-42808;565 kg 1245.61 lbs.;Audi;1570 kg 3461.26 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;265 KM @ 5250-6500 obr./min.;133.6 KM/l;A4;DMTA;45 TFSI (265 KM) quattro ultra Mild Hybrid S tronic;370 Nm @ 1600-4500 obr./min. 272.9 lb.-ft. @ 1600-4500 obr./min.;Napęd na wszystkie koła (4x4);Lipiec, 2020 r;1984 cm3 121.07 cu. in.;5.5 s;5.2 s;5.5 s;250 km/h 155.34 mph;7.5 J x 17;225/50 R17;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;92.8 mm 3.65 in.;Zaloguj się, aby zobaczyć.;Euro 6d-ISC-FCM;9.6:1;4.2 kg/Nm, 235.7 Nm/tonę;5.9 kg/KM, 168.8 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Benzyna;Przekładnia zębatkowa;Z przodu, wzdłuż;Wtrysk bezpośredni;System start-stopFiltr cząstek stałych;Wspomaganie elektryczne;0.27;1431 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;58 l 15.32 US gal | 12.76 UK gal;7.4-8.3 l/100 km 31.79 - 28.34 US mpg38.17 - 34.03 UK mpg13.51 - 12.05 km/l;Brak danych;8.9-9.2 l/100 km 26.43 - 25.57 US mpg31.74 - 30.7 UK mpg11.24 - 10.87 km/l;Brak danych;6.8-7.1 l/100 km 34.59 - 33.13 US mpg41.54 - 39.79 UK mpg14.71 - 14.08 km/l;Brak danych;5.6-5.9 l/100 km 42 - 39.87 US mpg50.44 - 47.88 UK mpg17.86 - 16.95 km/l;8 l 8.45 US qt | 7.04 UK qt;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;82.5 mm 3.25 in.
MHEV (łagodny układ hybrydowy);Silnik spalinowy (SSW) oraz motor elektryczny wprowadzają w ruch cztery koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym.;Turbo kompresor , Intercooler;2110 kg 4651.75 lbs.;750 kg 1653.47 lbs.;1500 kg 3306.93 lbs.;1700 kg 3747.86 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;146-155 g/km;Brak danych;174-178 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.2 l 5.49 US qt | 4.58 UK qt;Rzędowy;Może, 2020 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-45-tfsi-245hp-quattro-mild-hybrid-s-tronic-37076;565 kg 1245.61 lbs.;Audi;1545 kg 3406.14 lbs.;Brak danych;11.6 m 38.06 ft.;245 KM @ 5000-6500 obr./min.;123.5 KM/l;A4;DKNA;45 TFSI (245 KM) quattro Mild Hybrid S tronic;370 Nm @ 1600-4300 obr./min. 272.9 lb.-ft. @ 1600-4300 obr./min.;Napęd na wszystkie koła (4x4);Może, 2019 r;1984 cm3 121.07 cu. in.;5.8 s;5.5 s;5.8 s;250 km/h 155.34 mph;Brak danych;Brak danych;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;Brak danych;Zaloguj się, aby zobaczyć.;Euro 6d - TEMP - EVAP - ISC;Brak danych;4.2 kg/Nm, 239.5 Nm/tonę;6.3 kg/KM, 158.6 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Benzyna;Przekładnia zębatkowa;Z przodu, wzdłuż;Wtrysk bezpośredni;Brak danych;Wspomaganie elektryczne;Brak danych;1428 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;58 l 15.32 US gal | 12.76 UK gal;7.7-7.9 l/100 km 30.55 - 29.77 US mpg36.69 - 35.76 UK mpg12.99 - 12.66 km/l;8.5-8.7 l/100 km 27.67 - 27.04 US mpg33.23 - 32.47 UK mpg11.76 - 11.49 km/l;Brak danych;6.5-6.8 l/100 km 36.19 - 34.59 US mpg43.46 - 41.54 UK mpg15.38 - 14.71 km/l;Brak danych;5.3-5.8 l/100 km 44.38 - 40.55 US mpg53.3 - 48.7 UK mpg18.87 - 17.24 km/l;Brak danych;Brak danych;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;Brak danych
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch stale przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym, a w razie potrzeby - poprzez elektrycznie lub mechanicznie sterowane sprzęgło wprowadza w ruch tylne koła.;Turbo kompresor , Intercooler;2140 kg 4717.89 lbs.;750 kg 1653.47 lbs.;1700 kg 3747.86 lbs.;1900 kg 4188.78 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;Brak danych;132-141 g/km;142-162 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.2 l 5.49 US qt | 4.58 UK qt;Rzędowy;2024 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-40-tfsi-204hp-quattro-ultra-mild-hybrid-s-tronic-42807;580 kg 1278.68 lbs.;Audi;1560 kg 3439.21 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;204 KM @ 4475-6000 obr./min.;102.8 KM/l;A4;DMSA;40 TFSI (204 KM) quattro ultra Mild Hybrid S tronic;320 Nm @ 1450-4475 obr./min. 236.02 lb.-ft. @ 1450-4475 obr./min.;Napęd na wszystkie koła (4x4);Lipiec, 2020 r;1984 cm3 121.07 cu. in.;6.7 s;6.4 s;6.7 s;210 km/h 130.49 mph;7.5 J x 17;225/50 R17;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;92.8 mm 3.65 in.;Zaloguj się, aby zobaczyć.;Euro 6d-ISC-FCM;12.2:1;4.9 kg/Nm, 205.1 Nm/tonę;7.6 kg/KM, 130.8 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Benzyna;Przekładnia zębatkowa;Z przodu, wzdłuż;Wtrysk bezpośredni;System start-stopFiltr cząstek stałych;Wspomaganie elektryczne;0.25;1431 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;58 l 15.32 US gal | 12.76 UK gal;6.3-7.1 l/100 km 37.34 - 33.13 US mpg44.84 - 39.79 UK mpg15.87 - 14.08 km/l;Brak danych;7.5-7.9 l/100 km 31.36 - 29.77 US mpg37.66 - 35.76 UK mpg13.33 - 12.66 km/l;Brak danych;5.8-6.2 l/100 km 40.55 - 37.94 US mpg48.7 - 45.56 UK mpg17.24 - 16.13 km/l;Brak danych;4.8-5.2 l/100 km 49 - 45.23 US mpg58.85 - 54.32 UK mpg20.83 - 19.23 km/l;8 l 8.45 US qt | 7.04 UK qt;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;82.5 mm 3.25 in.
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym.;Turbo kompresor , Intercooler;2060 kg 4541.52 lbs.;750 kg 1653.47 lbs.;1500 kg 3306.93 lbs.;1700 kg 3747.86 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;Brak danych;128-135 g/km;138-160 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.2 l 5.49 US qt | 4.58 UK qt;Rzędowy;2024 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-40-tfsi-204hp-mild-hybrid-s-tronic-42806;575 kg 1267.66 lbs.;Audi;1485 kg 3273.86 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;204 KM @ 4475-6000 obr./min.;102.8 KM/l;A4;DMSA;40 TFSI (204 KM) Mild Hybrid S tronic;320 Nm @ 1450-4475 obr./min. 236.02 lb.-ft. @ 1450-4475 obr./min.;Napęd na przednie koła;Lipiec, 2020 r;1984 cm3 121.07 cu. in.;7.1 s;6.7 s;7.1 s;210 km/h 130.49 mph;7.5 J x 17;225/50 R17;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;92.8 mm 3.65 in.;Zaloguj się, aby zobaczyć.;Euro 6d-ISC-FCM;12.2:1;4.6 kg/Nm, 215.5 Nm/tonę;7.3 kg/KM, 137.4 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Benzyna;Przekładnia zębatkowa;Z przodu, wzdłuż;Wtrysk bezpośredni;System start-stopFiltr cząstek stałych;Wspomaganie elektryczne;0.25;1431 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;54 l 14.27 US gal | 11.88 UK gal;6.1-7.0 l/100 km 38.56 - 33.6 US mpg46.31 - 40.35 UK mpg16.39 - 14.29 km/l;Brak danych;7.1-7.3 l/100 km 33.13 - 32.22 US mpg39.79 - 38.7 UK mpg14.08 - 13.7 km/l;Brak danych;5.6-5.9 l/100 km 42 - 39.87 US mpg50.44 - 47.88 UK mpg17.86 - 16.95 km/l;Brak danych;4.8-5.1 l/100 km 49 - 46.12 US mpg58.85 - 55.39 UK mpg20.83 - 19.61 km/l;8 l 8.45 US qt | 7.04 UK qt;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;82.5 mm 3.25 in.
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym.;Turbo kompresor , Intercooler;2040 kg 4497.43 lbs.;750 kg 1653.47 lbs.;1500 kg 3306.93 lbs.;1700 kg 3747.86 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;132-137 g/km;Brak danych;152-166 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.2 l 5.49 US qt | 4.58 UK qt;Rzędowy;2020 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-40-tfsi-190hp-mild-hybrid-s-tronic-37077;585 kg 1289.7 lbs.;Audi;1455 kg 3207.73 lbs.;Brak danych;11.6 m 38.06 ft.;190 KM @ 4200-6000 obr./min.;95.8 KM/l;A4;DEMA, DKYA, DLVA;40 TFSI (190 KM) Mild Hybrid S tronic;320 Nm @ 1450-4200 obr./min. 236.02 lb.-ft. @ 1450-4200 obr./min.;Napęd na przednie koła;2019 r;1984 cm3 121.07 cu. in.;7.3 s;6.9 s;7.3 s;241 km/h 149.75 mph;Brak danych;Brak danych;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;Brak danych;Zaloguj się, aby zobaczyć.;Euro 6d - TEMP - EVAP - ISC;Brak danych;4.5 kg/Nm, 219.9 Nm/tonę;7.7 kg/KM, 130.6 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Benzyna;Przekładnia zębatkowa;Z przodu, wzdłuż;Wtrysk bezpośredni;Brak danych;Wspomaganie elektryczne;Brak danych;1428 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;54 l 14.27 US gal | 11.88 UK gal;7.0-7.3 l/100 km 33.6 - 32.22 US mpg40.35 - 38.7 UK mpg14.29 - 13.7 km/l;7.4-7.7 l/100 km 31.79 - 30.55 US mpg38.17 - 36.69 UK mpg13.51 - 12.99 km/l;Brak danych;5.8-6.0 l/100 km 40.55 - 39.2 US mpg48.7 - 47.08 UK mpg17.24 - 16.67 km/l;Brak danych;4.7-5.2 l/100 km 50.05 - 45.23 US mpg60.1 - 54.32 UK mpg21.28 - 19.23 km/l;Brak danych;Brak danych;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;Brak danych
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch stale przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym, a w razie potrzeby - poprzez elektrycznie lub mechanicznie sterowane sprzęgło wprowadza w ruch tylne koła.;Turbo kompresor , Intercooler;2160 kg 4761.98 lbs.;750 kg 1653.47 lbs.;1800 kg 3968.32 lbs.;2000 kg 4409.25 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;Brak danych;118-126 g/km;133-152 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.5 l 5.81 US qt | 4.84 UK qt;Rzędowy;2024 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-40-tdi-204hp-quattro-ultra-mild-hybrid-s-tronic-42541;570 kg 1256.63 lbs.;Audi;1590 kg 3505.35 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;204 KM @ 3800-4200 obr./min.;103.7 KM/l;A4;DTPA;40 TDI (204 KM) quattro ultra Mild Hybrid S tronic;400 Nm @ 1750-3250 obr./min. 295.02 lb.-ft. @ 1750-3250 obr./min.;Napęd na wszystkie koła (4x4);Wrzesień, 2020 r;1968 cm3 120.09 cu. in.;6.9 s;6.6 s;6.9 s;210 km/h 130.49 mph;7.5 J x 17;225/50 R17;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;95.5 mm 3.76 in.;Zaloguj się, aby zobaczyć.;Euro 6d-ISC-FCM;15.5:1;4 kg/Nm, 251.6 Nm/tonę;7.8 kg/KM, 128.3 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;System start-stopFiltr cząstek stałych;Wspomaganie elektryczne;0.25;1431 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;58 l 15.32 US gal | 12.76 UK gal;5.1-5.8 l/100 km 46.12 - 40.55 US mpg55.39 - 48.7 UK mpg19.61 - 17.24 km/l;Brak danych;5.4-5.6 l/100 km 43.56 - 42 US mpg52.31 - 50.44 UK mpg18.52 - 17.86 km/l;Brak danych;4.5-4.8 l/100 km 52.27 - 49 US mpg62.77 - 58.85 UK mpg22.22 - 20.83 km/l;Brak danych;3.9-4.3 l/100 km 60.31 - 54.7 US mpg72.43 - 65.69 UK mpg25.64 - 23.26 km/l;11.9 l 12.57 US qt | 10.47 UK qt;12 l 3.17 US gal | 2.64 UK gal;899 mm 35.39 in.;1043 mm 41.06 in.;81 mm 3.19 in.
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym.;Turbo kompresor , Intercooler;2100 kg 4629.71 lbs.;750 kg 1653.47 lbs.;1700 kg 3747.86 lbs.;1900 kg 4188.78 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;Brak danych;118-126 g/km;131-152 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.5 l 5.81 US qt | 4.84 UK qt;Rzędowy;2024 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-40-tdi-204hp-mild-hybrid-s-tronic-42540;600 kg 1322.77 lbs.;Audi;1500 kg 3306.93 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;204 KM @ 3800-4200 obr./min.;103.7 KM/l;A4;DTPA;40 TDI (204 KM) Mild Hybrid S tronic;400 Nm @ 1750-3250 obr./min. 295.02 lb.-ft. @ 1750-3250 obr./min.;Napęd na przednie koła;Wrzesień, 2020 r;1968 cm3 120.09 cu. in.;7.4 s;7 s;7.4 s;210 km/h 130.49 mph;7.5 J x 17;225/50 R17;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;95.5 mm 3.76 in.;Zaloguj się, aby zobaczyć.;Euro 6d-ISC-FCM;15.5:1;3.8 kg/Nm, 266.7 Nm/tonę;7.4 kg/KM, 136 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;System start-stopFiltr cząstek stałych;Wspomaganie elektryczne;0.25;1431 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;40 l 10.57 US gal | 8.8 UK gal;5.0-5.8 l/100 km 47.04 - 40.55 US mpg56.5 - 48.7 UK mpg20 - 17.24 km/l;Brak danych;5.3-5.5 l/100 km 44.38 - 42.77 US mpg53.3 - 51.36 UK mpg18.87 - 18.18 km/l;Brak danych;4.5-4.8 l/100 km 52.27 - 49 US mpg62.77 - 58.85 UK mpg22.22 - 20.83 km/l;Brak danych;4.0-4.4 l/100 km 58.8 - 53.46 US mpg70.62 - 64.2 UK mpg25 - 22.73 km/l;11.9 l 12.57 US qt | 10.47 UK qt;12 l 3.17 US gal | 2.64 UK gal;899 mm 35.39 in.;1043 mm 41.06 in.;81 mm 3.19 in.
Silnik spalinowy;SSW wprowadza w ruch przednie koła samochodu.;Turbo kompresor , Intercooler;2160 kg 4761.98 lbs.;750 kg 1653.47 lbs.;1800 kg 3968.32 lbs.;2000 kg 4409.25 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;131-139 g/km;Brak danych;Brak danych;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;4.7 l 4.97 US qt | 4.14 UK qt;Rzędowy;Sierpień, 2020 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-40-tdi-190hp-s-tronic-37075;575 kg 1267.66 lbs.;Audi;1585 kg 3494.33 lbs.;Brak danych;11.6 m 38.06 ft.;190 KM @ 3800-4200 obr./min.;96.5 KM/l;A4;DESA, DETA;40 TDI (190 KM) S tronic;400 Nm @ 1750-3000 obr./min. 295.02 lb.-ft. @ 1750-3000 obr./min.;Napęd na przednie koła;Może, 2019 r;1968 cm3 120.09 cu. in.;7.4 s;7 s;7.4 s;235 km/h 146.02 mph;Brak danych;Brak danych;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;Brak danych;Zaloguj się, aby zobaczyć.;Euro 6d - TEMP - EVAP - ISC;Brak danych;4 kg/Nm, 252.4 Nm/tonę;8.3 kg/KM, 119.9 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;Filtr cząstek stałych;Wspomaganie elektryczne;Brak danych;1428 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;58 l 15.32 US gal | 12.76 UK gal;Brak danych;5.6-5.9 l/100 km 42 - 39.87 US mpg50.44 - 47.88 UK mpg17.86 - 16.95 km/l;Brak danych;4.9-5.3 l/100 km 48 - 44.38 US mpg57.65 - 53.3 UK mpg20.41 - 18.87 km/l;Brak danych;4.5-4.9 l/100 km 52.27 - 48 US mpg62.77 - 57.65 UK mpg22.22 - 20.41 km/l;Brak danych;Brak danych;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;Brak danych
